IP,延迟(ms),丢包率(%),速度(Mbps)
198.41.197.240,14.64,0.00,0.00
104.19.113.255,11.61,0.00,0.00
104.24.196.64,12.07,0.00,0.00
104.16.37.212,11.85,0.00,0.00
104.17.142.76,13.29,0.00,0.00
104.27.33.43,14.27,0.00,0.00
104.24.18.16,11.71,0.00,0.00
108.162.194.224,13.10,0.00,0.00
141.101.123.117,11.38,0.00,0.00
104.25.102.127,10.61,0.00,0.00
172.67.205.46,12.14,0.00,0.00
104.16.114.51,13.98,0.00,0.00
162.159.11.145,11.10,0.00,0.00
104.18.227.160,11.48,0.00,0.00
104.25.20.205,13.90,0.00,0.00
104.17.131.3,12.99,0.00,0.00
104.27.204.9,14.01,0.00,0.00
104.17.22.10,14.45,0.00,0.00
104.27.52.3,14.29,0.00,0.00
104.18.219.219,15.02,0.00,0.00
190.93.247.147,11.73,0.00,0.00
104.19.138.58,11.87,0.00,0.00
104.21.232.31,14.53,0.00,0.00
104.27.70.132,14.56,0.00,0.00
172.66.214.43,14.57,0.00,0.00
162.159.11.56,14.16,0.00,0.00
198.41.219.43,14.08,0.00,32.69
162.159.213.95,11.84,0.00,0.00
198.41.194.164,12.62,0.00,0.00
198.41.201.77,10.82,0.00,0.00
104.21.70.130,14.19,0.00,30.14
104.27.25.172,13.29,0.00,0.00
104.18.169.216,11.82,0.00,0.00
162.159.199.165,13.42,0.00,0.00
104.18.204.67,14.13,0.00,0.00
172.65.11.175,13.52,0.00,28.89
104.24.179.133,13.16,0.00,0.00
104.17.173.93,12.14,0.00,0.00
198.41.207.222,15.54,0.00,0.00
104.17.97.109,14.86,0.00,0.00
190.93.245.168,12.11,0.00,0.00
104.18.182.9,13.50,0.00,0.00
172.67.141.69,14.45,0.00,0.00
190.93.245.214,10.81,0.00,0.00
104.27.102.186,14.32,0.00,0.00
190.93.247.152,14.94,0.00,0.00
172.66.163.209,12.71,0.00,0.00
172.67.247.139,14.06,0.00,0.00
172.65.180.250,11.83,0.00,0.00
173.245.59.86,14.15,0.00,0.00
190.93.244.119,14.35,0.00,0.00
173.245.59.82,14.24,0.00,0.00
173.245.59.218,14.35,0.00,0.00
190.93.244.30,12.85,0.00,0.00
188.114.98.121,11.54,0.00,0.00
104.21.50.219,14.78,0.00,0.00
104.19.40.148,15.40,0.00,0.00
172.65.45.169,13.20,0.00,0.00
162.159.232.198,14.43,0.00,27.51
172.65.137.147,12.14,0.00,0.00
162.159.50.135,15.02,0.00,0.00
104.16.23.196,13.44,0.00,0.00
104.27.60.36,14.25,0.00,0.00
104.19.220.88,12.00,0.00,0.00
141.101.115.18,14.47,0.00,0.00
190.93.244.152,12.01,0.00,0.00
162.159.21.103,12.92,0.00,0.00
172.65.80.199,13.47,0.00,0.00
190.93.246.68,14.02,0.00,0.00
172.65.105.249,14.30,0.00,0.00
173.245.59.158,10.53,0.00,0.00
108.162.196.179,11.69,0.00,0.00
190.93.247.175,10.02,0.00,0.00
188.114.98.248,12.12,0.00,26.02
162.159.16.139,13.97,0.00,0.00
104.27.20.154,14.45,0.00,0.00
198.41.204.211,14.25,0.00,0.00
172.67.109.211,13.20,0.00,0.00
190.93.247.34,14.34,0.00,0.00
188.114.99.78,13.00,0.00,0.00
104.24.248.143,14.73,0.00,0.00
104.25.125.76,12.50,0.00,0.00
104.19.83.146,13.60,0.00,0.00
104.19.210.93,13.63,0.00,0.00
104.17.187.29,13.26,0.00,0.00
104.16.62.82,13.08,0.00,0.00
104.16.1.123,13.87,0.00,26.47
190.93.246.197,11.41,0.00,24.02
108.162.198.120,13.82,0.00,23.19
172.64.188.138,14.57,0.00,0.00
190.93.247.164,13.46,0.00,0.00
104.16.142.7,14.38,0.00,0.00
104.17.134.240,14.26,0.00,0.00
104.25.73.7,10.55,0.00,0.00
